学籍番号,テスト点数,出席率,クラス,受験日
1,5,78.9,B,2024/1/1
2,78,78.2,A,2024/1/2
3,0,55,C,2024/1/3
4,10,62.6,A,2024/1/4
5,26,60.4,B,2024/1/5
6,44,76.2,B,2024/1/6
7,10,84.5,C,2024/1/7
8,73,81.9,A,2024/1/8
9,83,65.8,B,2024/1/9
10,91,70.7,C,2024/1/10
11,36,60.9,C,2024/1/11
12,77,60.2,A,2024/1/12
13,40,82.6,C,2024/1/13
14,79,95.7,B,2024/1/14
15,14,60.8,A,2024/1/15
16,84,82.7,C,2024/1/16
17,29,90,A,2024/1/17
18,35,65.3,B,2024/1/18
19,98,70.1,B,2024/1/19
20,12,63.1,C,2024/1/20
21,88,98.8,A,2024/1/21
22,24,61.2,C,2024/1/22
23,0,91.4,A,2024/1/23
24,7,95.7,B,2024/1/24
25,43,82.4,B,2024/1/25
26,44,67,B,2024/1/26
27,39,80.5,B,2024/1/27
28,68,84.7,A,2024/1/28
29,16,70.5,C,2024/1/29
30,46,77.6,C,2024/1/30
31,28,61.8,C,2024/1/31
32,94,65.4,A,2024/2/1
33,49,97.5,B,2024/2/2
34,56,98.9,A,2024/2/3
35,46,96.4,A,2024/2/4
36,40,80,B,2024/2/5
37,46,69,B,2024/2/6
38,64,83.2,B,2024/2/7
39,6,94.6,A,2024/2/8
40,99,91.3,B,2024/2/9
41,86,60.3,B,2024/2/10
42,51,61.7,C,2024/2/11
43,15,72.8,C,2024/2/12
44,94,96.7,C,2024/2/13
45,85,54.2,A,2024/2/14
46,40,75.9,A,2024/2/15
47,5,62.3,C,2024/2/16
48,37,72.9,C,2024/2/17
49,100,86.5,A,2024/2/18
50,99,62.5,B,2024/2/19
51,63,97.8,A,2024/2/20
52,78,56,A,2024/2/21
53,98,95,B,2024/2/22
54,69,81.5,C,2024/2/23
55,81,82.2,A,2024/2/24
56,63,77.2,C,2024/2/25
57,65,73.1,A,2024/2/26
58,77,76.9,C,2024/2/27
59,76,82.4,A,2024/2/28
60,47,58.2,B,2024/2/29
61,25,67.9,A,2024/3/1
62,62,80.6,C,2024/3/2
63,64,97.5,B,2024/3/3
64,20,76,B,2024/3/4
65,78,67.3,C,2024/3/5
66,95,90.7,C,2024/3/6
67,6,93.1,C,2024/3/7
68,57,87.7,A,2024/3/8
69,44,57.7,A,2024/3/9
70,10,58.8,B,2024/3/10
71,98,91.5,A,2024/3/11
72,32,86.2,A,2024/3/12
73,75,84.6,A,2024/3/13
74,3,74.2,C,2024/3/14
75,98,88.5,B,2024/3/15
76,29,71.5,B,2024/3/16
77,14,90.6,C,2024/3/17
78,23,66,A,2024/3/18
79,52,50.1,B,2024/3/19
80,26,73.7,B,2024/3/20
81,46,91.3,B,2024/3/21
82,72,69.2,A,2024/3/22
83,35,69.6,A,2024/3/23
84,77,76.4,A,2024/3/24
85,8,79.9,C,2024/3/25
86,60,50.8,B,2024/3/26
87,11,83.1,C,2024/3/27
88,81,52.6,C,2024/3/28
89,64,74.7,B,2024/3/29
90,14,94.9,B,2024/3/30
91,9,97.1,B,2024/3/31
92,23,70.9,B,2024/4/1
93,93,95.4,B,2024/4/2
94,11,68.7,A,2024/4/3
95,67,59.1,A,2024/4/4
96,0,75.8,A,2024/4/5
97,76,98.9,B,2024/4/6
98,39,90.3,A,2024/4/7
99,16,87.3,A,2024/4/8
100,33,56.2,C,2024/4/9
