学籍番号,テスト点数,出席率,クラス,受験日
1,36,72.5,A,2024-01-01
2,34,52.9,C,2024-01-02
3,84,55.4,A,2024-01-03
4,33,71.7,B,2024-01-04
5,100,80.6,B,2024-01-05
6,4,99.6,C,2024-01-06
7,25,73.6,B,2024-01-07
8,96,63.7,A,2024-01-08
9,87,81.0,A,2024-01-09
10,39,62.0,A,2024-01-10
11,80,62.3,A,2024-01-11
12,26,94.7,B,2024-01-12
13,22,76.8,B,2024-01-13
14,61,95.6,B,2024-01-14
15,20,61.8,B,2024-01-15
16,66,61.4,C,2024-01-16
17,92,54.1,C,2024-01-17
18,10,69.8,A,2024-01-18
19,34,85.1,B,2024-01-19
20,96,60.2,B,2024-01-20
21,48,67.7,C,2024-01-21
22,62,96.5,A,2024-01-22
23,81,57.8,B,2024-01-23
24,69,66.6,A,2024-01-24
25,45,86.5,B,2024-01-25
26,88,81.0,B,2024-01-26
27,12,56.6,B,2024-01-27
28,41,90.5,B,2024-01-28
29,43,79.5,A,2024-01-29
30,30,58.3,B,2024-01-30
31,21,60.0,C,2024-01-31
32,53,77.4,B,2024-02-01
33,59,76.6,A,2024-02-02
34,78,70.1,B,2024-02-03
35,14,77.1,A,2024-02-04
36,31,82.7,B,2024-02-05
37,11,63.7,A,2024-02-06
38,36,74.1,A,2024-02-07
39,91,69.1,A,2024-02-08
40,89,53.1,C,2024-02-09
41,0,98.2,A,2024-02-10
42,23,80.2,C,2024-02-11
43,48,92.5,B,2024-02-12
44,13,80.5,C,2024-02-13
45,65,61.8,A,2024-02-14
46,32,71.7,B,2024-02-15
47,18,52.6,A,2024-02-16
48,94,54.1,A,2024-02-17
49,33,77.7,A,2024-02-18
50,27,85.5,A,2024-02-19
51,55,95.7,B,2024-02-20
52,51,77.5,A,2024-02-21
53,48,85.8,A,2024-02-22
54,33,65.7,B,2024-02-23
55,99,99.4,A,2024-02-24
56,0,70.2,C,2024-02-25
57,47,84.2,C,2024-02-26
58,5,87.3,A,2024-02-27
59,37,55.1,C,2024-02-28
60,43,53.4,C,2024-02-29
61,31,62.8,C,2024-03-01
62,84,59.9,B,2024-03-02
63,33,92.6,C,2024-03-03
64,92,60.8,B,2024-03-04
65,75,70.6,C,2024-03-05
66,59,92.8,A,2024-03-06
67,79,83.5,A,2024-03-07
68,9,82.7,A,2024-03-08
69,39,56.6,C,2024-03-09
70,33,95.0,C,2024-03-10
71,100,95.6,B,2024-03-11
72,6,85.4,B,2024-03-12
73,90,73.4,B,2024-03-13
74,9,94.4,A,2024-03-14
75,31,52.6,A,2024-03-15
76,24,71.3,B,2024-03-16
77,100,76.1,B,2024-03-17
78,32,94.4,C,2024-03-18
79,80,54.0,A,2024-03-19
80,38,50.1,A,2024-03-20
81,52,89.1,B,2024-03-21
82,36,94.1,C,2024-03-22
83,42,62.1,B,2024-03-23
84,45,78.6,C,2024-03-24
85,12,56.0,B,2024-03-25
86,74,91.9,C,2024-03-26
87,14,64.3,C,2024-03-27
88,34,58.1,B,2024-03-28
89,55,53.0,A,2024-03-29
90,87,69.5,A,2024-03-30
91,22,68.5,C,2024-03-31
92,47,61.2,B,2024-04-01
93,55,67.6,C,2024-04-02
94,43,92.2,B,2024-04-03
95,60,89.1,B,2024-04-04
96,11,97.8,B,2024-04-05
97,91,80.0,B,2024-04-06
98,35,56.9,B,2024-04-07
99,61,54.6,A,2024-04-08
100,9,94.2,C,2024-04-09
