?øΩw?øΩ–î‘çÔøΩ,?øΩe?øΩX?øΩg?øΩ_?øΩ?øΩ,?øΩo?øΩ»óÔøΩ,?øΩN?øΩ?øΩ?øΩX,?øΩ?±ìÔøΩ
1,5,78.9,B,2024-01-01
2,78,78.2,A,2024-01-02
3,0,55.0,C,2024-01-03
4,10,62.6,A,2024-01-04
5,26,60.4,B,2024-01-05
6,44,76.2,B,2024-01-06
7,10,84.5,C,2024-01-07
8,73,81.9,A,2024-01-08
9,83,65.8,B,2024-01-09
10,91,70.7,C,2024-01-10
11,36,60.9,C,2024-01-11
12,77,60.2,A,2024-01-12
13,40,82.6,C,2024-01-13
14,79,95.7,B,2024-01-14
15,14,60.8,A,2024-01-15
16,84,82.7,C,2024-01-16
17,29,90.0,A,2024-01-17
18,35,65.3,B,2024-01-18
19,98,70.1,B,2024-01-19
20,12,63.1,C,2024-01-20
21,88,98.8,A,2024-01-21
22,24,61.2,C,2024-01-22
23,0,91.4,A,2024-01-23
24,7,95.7,B,2024-01-24
25,43,82.4,B,2024-01-25
26,44,67.0,B,2024-01-26
27,39,80.5,B,2024-01-27
28,68,84.7,A,2024-01-28
29,16,70.5,C,2024-01-29
30,46,77.6,C,2024-01-30
31,28,61.8,C,2024-01-31
32,94,65.4,A,2024-02-01
33,49,97.5,B,2024-02-02
34,56,98.9,A,2024-02-03
35,46,96.4,A,2024-02-04
36,40,80.0,B,2024-02-05
37,46,69.0,B,2024-02-06
38,64,83.2,B,2024-02-07
39,6,94.6,A,2024-02-08
40,99,91.3,B,2024-02-09
41,86,60.3,B,2024-02-10
42,51,61.7,C,2024-02-11
43,15,72.8,C,2024-02-12
44,94,96.7,C,2024-02-13
45,85,54.2,A,2024-02-14
46,40,75.9,A,2024-02-15
47,5,62.3,C,2024-02-16
48,37,72.9,C,2024-02-17
49,100,86.5,A,2024-02-18
50,99,62.5,B,2024-02-19
51,63,97.8,A,2024-02-20
52,78,56.0,A,2024-02-21
53,98,95.0,B,2024-02-22
54,69,81.5,C,2024-02-23
55,81,82.2,A,2024-02-24
56,63,77.2,C,2024-02-25
57,65,73.1,A,2024-02-26
58,77,76.9,C,2024-02-27
59,76,82.4,A,2024-02-28
60,47,58.2,B,2024-02-29
61,25,67.9,A,2024-03-01
62,62,80.6,C,2024-03-02
63,64,97.5,B,2024-03-03
64,20,76.0,B,2024-03-04
65,78,67.3,C,2024-03-05
66,95,90.7,C,2024-03-06
67,6,93.1,C,2024-03-07
68,57,87.7,A,2024-03-08
69,44,57.7,A,2024-03-09
70,10,58.8,B,2024-03-10
71,98,91.5,A,2024-03-11
72,32,86.2,A,2024-03-12
73,75,84.6,A,2024-03-13
74,3,74.2,C,2024-03-14
75,98,88.5,B,2024-03-15
76,29,71.5,B,2024-03-16
77,14,90.6,C,2024-03-17
78,23,66.0,A,2024-03-18
79,52,50.1,B,2024-03-19
80,26,73.7,B,2024-03-20
81,46,91.3,B,2024-03-21
82,72,69.2,A,2024-03-22
83,35,69.6,A,2024-03-23
84,77,76.4,A,2024-03-24
85,8,79.9,C,2024-03-25
86,60,50.8,B,2024-03-26
87,11,83.1,C,2024-03-27
88,81,52.6,C,2024-03-28
89,64,74.7,B,2024-03-29
90,14,94.9,B,2024-03-30
91,9,97.1,B,2024-03-31
92,23,70.9,B,2024-04-01
93,93,95.4,B,2024-04-02
94,11,68.7,A,2024-04-03
95,67,59.1,A,2024-04-04
96,0,75.8,A,2024-04-05
97,76,98.9,B,2024-04-06
98,39,90.3,A,2024-04-07
99,16,87.3,A,2024-04-08
100,33,56.2,C,2024-04-09
